date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:41	4750/4750	---M--	200	added ('OK')	image/png	etag:%2236d4b0b74c74033389dedf0291b6097e%22	https://open.scdn.co/cdn/images/touch-icon-144.36faaf96.png	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/images/touch-icon-144.36faaf96.png	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:41	4515/4515	---M--	200	added ('OK')	image/png	etag:%225963ded08cefdd5131719119646380d0%22	https://open.scdn.co/cdn/images/touch-icon-114.0d424df2.png	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/images/touch-icon-114.0d424df2.png	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:41	2779/2779	---M--	200	added ('OK')	image/png	etag:%221eb9c73f2c1bf43c09851e7f75b9d6e8%22	https://open.scdn.co/cdn/images/touch-icon-72.cffecbdb.png	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/images/touch-icon-72.cffecbdb.png	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:41	2274/2274	---M--	200	added ('OK')	image/png	etag:%227e0691b68d07a646b1a3534ca8f22e42%22	https://open.scdn.co/cdn/images/touch-icon-57.5460f415.png	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/images/touch-icon-57.5460f415.png	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:42	36119/36119	---M-Z	200	added ('OK')	application/javascript	etag:%22cf073ebb7047436de2744ce0aec9b28a%22	https://open.scdn.co/cdn/build/open/open.2434186b.js	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/build/open/open.2434186b.js	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:43	87542/87542	---M-Z	200	added ('OK')	application/javascript	etag:%2204cc40307c2f3100f6ba3feee01ccbe2%22	https://open.scdn.co/cdn/build/open/vendor~open.bf9aa306.js	C:/My%20Web%20Sites/sam/open.scdn.co/cdn/build/open/vendor_open.bf9aa306.js	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:44	92230/92230	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2024%20Dec%202020%2004:43:45%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/sam/connect.facebook.net/en_US/fbevents.js	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:45	1469/1469	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2024%20Dec%202020%2004:43:46%20GMT	https://sb.scorecardresearch.com/beacon.js	C:/My%20Web%20Sites/sam/sb.scorecardresearch.com/beacon.js	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:49	3437/3437	---M-Z	200	added ('OK')	application/rss+xml	etag:%22460a059c5d43d3e8c83be2e66e247675%22	https://samandsounds.com/category/addicted-to-you/feed/	C:/My%20Web%20Sites/sam/samandsounds.com/category/addicted-to-you/feed/index.html	(from https://samandsounds.com/category/addicted-to-you/)
10:13:55	455870/455870	---M-Z	200	added ('OK')	application/ecmascript	etag:%22d9ecbf9efa9c2638a301fb7bc0553436%22	http://s3.amazonaws.com/ki.js/51746/b0R.js	C:/My%20Web%20Sites/sam/s3.amazonaws.com/ki.js/51746/b0R.js	(from https://open.spotify.com/track/4c9353f3wlw6WTk3qWdTrc?si=8-WLb-YTQyCoAdhlRcyi2w)
10:13:55	625/625	---M--	200	added ('OK')	application/json	etag:%22180-1608782010;;;%22	https://samandsounds.com/wp-json/wp/v2/categories/30	C:/My%20Web%20Sites/sam/samandsounds.com/wp-json/wp/v2/categories/30.json	(from https://samandsounds.com/category/addicted-to-you/)
10:13:55	22150/22150	---M-Z	200	added ('OK')	text/html	etag:%2288-1608434481;gz%22	https://samandsounds.com/2020/05/	C:/My%20Web%20Sites/sam/samandsounds.com/2020/05/index.html	(from https://samandsounds.com/category/addicted-to-you/)
10:14:08	6591237/6591237	---M--	200	added ('OK')	text/javascript	date:Sun,%2020%20Dec%202020%2022:10:30%20GMT	https://www.youtube.com/s/desktop/d743f786/jsbin/desktop_polymer_inlined_html_polymer_flags_legacy_browsers.vflset/desktop_polymer_inlined_html_polymer_flags_legacy_browsers.js	C:/My%20Web%20Sites/sam/www.youtube.com/s/desktop/d743f786/jsbin/desktop_polymer_inlined_html_polymer_flags_legacy_browsers.vflset/desktop_polymer_inlined_html_polymer_flags_legacy_browsers.js	(from https://www.youtube.com/channel/UC_9XIWriOUiRtuTR3GPWlEg)
10:14:09	2534/2534	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Dec%202020%2004:44:10%20GMT	https://open.spotify.com/track/POST	C:/My%20Web%20Sites/sam/open.spotify.com/track/POST.93.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
